loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
132,5, Graduate, No,8800000,22600000,10,357,7900000.0,8600000.0,18200000.0,4900000.0, Rejected
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000.0,500000.0,5400000.0,2600000.0, Rejected
136,3, Graduate, No,1600000,5500000,12,425,600000.0,800000.0,5400000.0,900000.0, Rejected
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000.0,3100000.0,7500000.0,1800000.0, Approved
140,0, Graduate, No,200000,700000,8,501,500000.0,200000.0,700000.0,100000.0, Rejected
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000.0,4100000.0,9500000.0,3300000.0, Approved
143,0, Graduate, Yes,5500000,16700000,18,829,5500000.0,1300000.0,12800000.0,5900000.0, Approved
144,4, Not Graduate, No,6600000,17400000,20,506,2600000.0,10000000.0,25900000.0,7200000.0, Rejected
145,2, Graduate, Yes,8600000,32100000,6,802,9400000.0,16700000.0,24500000.0,9800000.0, Approved
146,5, Not Graduate, No,600000,1500000,14,543,300000.0,900000.0,2100000.0,300000.0, Rejected
147,3, Graduate, Yes,1400000,3200000,20,772,2400000.0,900000.0,5100000.0,1600000.0, Approved
148,3, Graduate, No,4000000,11100000,12,572,9700000.0,100000.0,12500000.0,2400000.0, Approved
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000.0,900000.0,18500000.0,3800000.0, Approved
150,5, Graduate, No,2000000,6200000,18,402,4000000.0,2100000.0,7200000.0,1100000.0, Rejected
152,5, Graduate, Yes,8900000,28800000,6,772,13600000.0,5500000.0,20400000.0,8400000.0, Approved
153,1, Graduate, Yes,6500000,20600000,2,306,15900000.0,1900000.0,18100000.0,3200000.0, Approved
157,2, Graduate, No,3000000,7700000,12,890,4700000.0,4300000.0,8400000.0,2100000.0, Approved
158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000.0,18700000.0,27800000.0,8300000.0, Rejected
159,5, Graduate, Yes,700000,1300000,20,704,1600000.0,0.0,2200000.0,600000.0, Approved
162,4, Not Graduate, No,4500000,15100000,6,693,3700000.0,1500000.0,17800000.0,6000000.0, Approved
165,2, Graduate, Yes,8100000,22300000,18,737,22300000.0,12600000.0,27000000.0,7300000.0, Approved
166,0, Not Graduate, No,5700000,15900000,16,638,100000.0,9500000.0,16300000.0,4500000.0, Approved
168,1, Graduate, No,1800000,6500000,6,540,2500000.0,3200000.0,5000000.0,1100000.0, Rejected
169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000.0,300000.0,23100000.0,8200000.0, Rejected
172,0, Not Graduate, No,1900000,4100000,18,801,400000.0,800000.0,4800000.0,1200000.0, Approved
177,4, Not Graduate, No,9200000,27200000,12,873,4500000.0,1800000.0,33800000.0,11400000.0, Approved
178,5, Not Graduate, Yes,2400000,8600000,8,309,500000.0,600000.0,5700000.0,2800000.0, Rejected
181,3, Not Graduate, Yes,4500000,17900000,6,787,9800000.0,3600000.0,14300000.0,4200000.0, Approved
182,0, Graduate, Yes,900000,2200000,16,566,100000.0,700000.0,2000000.0,600000.0, Approved
183,0, Not Graduate, No,2800000,9900000,8,742,4900000.0,1300000.0,6700000.0,1700000.0, Approved
185,4, Graduate, No,1400000,3100000,14,575,3000000.0,2100000.0,4900000.0,1400000.0, Approved
186,2, Graduate, Yes,3800000,10900000,10,766,1900000.0,3900000.0,8600000.0,3000000.0, Approved
187,1, Not Graduate, Yes,1700000,5000000,10,888,2900000.0,900000.0,4100000.0,2200000.0, Approved
188,3, Graduate, Yes,9000000,30400000,6,638,16800000.0,11000000.0,26900000.0,9200000.0, Approved
190,1, Not Graduate, No,7400000,19800000,18,458,12600000.0,6200000.0,27700000.0,4000000.0, Rejected
192,0, Not Graduate, No,3000000,6500000,2,612,8800000.0,3400000.0,6700000.0,1700000.0, Approved
196,3, Graduate, No,9200000,27100000,12,306,5800000.0,11500000.0,28000000.0,9600000.0, Rejected
197,4, Not Graduate, Yes,400000,1500000,2,669,-100000.0,600000.0,900000.0,500000.0, Approved
198,2, Not Graduate, No,2800000,6000000,18,816,6300000.0,4200000.0,8000000.0,3400000.0, Approved
199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000.0,5800000.0,22500000.0,9400000.0, Rejected
200,3, Graduate, Yes,4700000,16400000,10,318,11400000.0,8100000.0,16200000.0,4300000.0, Rejected
202,2, Not Graduate, Yes,3800000,8900000,16,389,200000.0,5600000.0,12200000.0,2200000.0, Rejected
204,2, Graduate, Yes,6900000,15600000,6,352,13000000.0,5300000.0,22600000.0,10000000.0, Rejected
207,2, Graduate, No,9800000,20900000,12,768,3400000.0,10200000.0,38600000.0,13400000.0, Approved
208,0, Graduate, No,7100000,15400000,18,707,10300000.0,10800000.0,19600000.0,5800000.0, Approved
210,3, Graduate, No,1400000,3300000,2,652,100000.0,2100000.0,3500000.0,1900000.0, Approved
211,3, Graduate, No,7800000,15900000,2,665,14400000.0,900000.0,27200000.0,5400000.0, Approved
214,5, Not Graduate, No,1900000,7500000,20,715,5100000.0,2800000.0,6500000.0,2800000.0, Approved
215,2, Not Graduate, Yes,6700000,15200000,10,689,0.0,8200000.0,15000000.0,6800000.0, Approved
219,1, Not Graduate, Yes,6800000,17000000,2,744,15500000.0,3900000.0,23700000.0,3500000.0, Approved
220,0, Not Graduate, No,3200000,11300000,6,484,3500000.0,5500000.0,8500000.0,2100000.0, Rejected
223,4, Not Graduate, Yes,3900000,12400000,12,473,6400000.0,4700000.0,13100000.0,3800000.0, Rejected
225,3, Not Graduate, Yes,700000,1700000,8,733,1200000.0,800000.0,2400000.0,500000.0, Approved
227,3, Not Graduate, Yes,5900000,20600000,10,777,1900000.0,4600000.0,21200000.0,6400000.0, Approved
228,4, Graduate, No,7200000,19100000,4,774,9400000.0,7000000.0,17900000.0,3600000.0, Approved
229,1, Not Graduate, Yes,8700000,27000000,10,717,25500000.0,8600000.0,17500000.0,9100000.0, Approved
232,2, Graduate, No,9800000,32400000,2,543,24200000.0,17500000.0,25700000.0,7700000.0, Approved
233,0, Not Graduate, Yes,2700000,6800000,20,796,700000.0,4200000.0,7000000.0,1900000.0, Approved
234,3, Not Graduate, Yes,8800000,34600000,8,386,14800000.0,16500000.0,18400000.0,6000000.0, Rejected
235,5, Not Graduate, Yes,3300000,7800000,16,632,8500000.0,500000.0,7100000.0,4900000.0, Approved
238,3, Graduate, Yes,4100000,15500000,6,667,2800000.0,1600000.0,14700000.0,4000000.0, Approved
239,3, Not Graduate, Yes,4700000,17500000,8,585,1200000.0,3100000.0,9600000.0,4900000.0, Approved
241,2, Graduate, No,9600000,22500000,18,851,7400000.0,16200000.0,24300000.0,12700000.0, Approved
242,3, Not Graduate, Yes,7000000,16200000,6,378,20000000.0,12600000.0,20300000.0,5500000.0, Rejected
243,5, Graduate, No,5700000,12900000,18,807,4100000.0,900000.0,18600000.0,5500000.0, Approved
245,2, Not Graduate, No,2100000,5100000,12,674,2200000.0,3200000.0,6400000.0,2400000.0, Approved
247,2, Not Graduate, No,8000000,29300000,4,600,16500000.0,13200000.0,29400000.0,6500000.0, Approved
248,0, Not Graduate, Yes,9400000,27000000,10,536,4400000.0,1700000.0,33800000.0,4800000.0, Rejected
249,0, Graduate, No,8400000,20600000,10,477,1500000.0,1500000.0,25000000.0,11900000.0, Rejected
251,0, Not Graduate, Yes,4200000,16400000,20,539,9500000.0,2100000.0,11400000.0,3100000.0, Rejected
253,3, Not Graduate, No,3700000,8500000,20,853,8300000.0,5700000.0,7500000.0,4900000.0, Approved
255,2, Not Graduate, No,2100000,4700000,2,546,6000000.0,3200000.0,5700000.0,1500000.0, Rejected
256,3, Graduate, Yes,900000,2400000,10,489,800000.0,0.0,2800000.0,500000.0, Rejected
257,3, Graduate, Yes,9800000,35400000,6,869,14400000.0,16400000.0,22800000.0,10300000.0, Approved
258,2, Not Graduate, No,8000000,20000000,2,502,4100000.0,2200000.0,31600000.0,9900000.0, Rejected
260,0, Not Graduate, Yes,300000,1100000,8,789,400000.0,100000.0,800000.0,400000.0, Approved
262,3, Graduate, Yes,7400000,19600000,2,716,4100000.0,8900000.0,29100000.0,4200000.0, Approved
263,3, Graduate, No,9200000,34300000,18,523,25600000.0,4000000.0,29100000.0,8800000.0, Rejected
264,5, Not Graduate, No,9500000,22200000,20,352,24500000.0,0.0,30800000.0,7000000.0, Rejected
265,5, Graduate, Yes,3800000,14400000,2,345,3300000.0,800000.0,13000000.0,4700000.0, Approved
271,5, Not Graduate, No,5200000,12200000,20,513,13400000.0,2000000.0,16800000.0,5400000.0, Rejected
272,5, Graduate, No,9400000,27900000,4,870,1100000.0,200000.0,29500000.0,10400000.0, Approved
276,1, Not Graduate, No,7000000,23000000,10,886,14000000.0,3700000.0,26700000.0,3600000.0, Approved
277,4, Not Graduate, No,1700000,4000000,6,829,0.0,1600000.0,5200000.0,1700000.0, Approved
279,4, Not Graduate, No,2000000,4700000,18,733,3700000.0,3700000.0,7000000.0,2800000.0, Approved
283,0, Graduate, Yes,2800000,7800000,10,405,7800000.0,2500000.0,7100000.0,3400000.0, Rejected
284,3, Graduate, Yes,6800000,19900000,10,516,16000000.0,6000000.0,26000000.0,8500000.0, Rejected
285,4, Not Graduate, Yes,600000,1800000,8,417,1700000.0,700000.0,1800000.0,800000.0, Rejected
286,1, Not Graduate, No,4700000,14000000,6,468,11300000.0,1800000.0,10600000.0,4600000.0, Rejected
288,5, Not Graduate, No,4000000,13900000,6,530,6000000.0,5600000.0,12500000.0,6000000.0, Rejected
290,1, Not Graduate, Yes,7700000,25500000,12,549,18100000.0,10600000.0,20500000.0,7000000.0, Rejected
291,5, Not Graduate, Yes,4300000,9300000,10,450,2100000.0,6700000.0,10000000.0,4100000.0, Rejected
294,0, Not Graduate, Yes,2900000,7600000,8,320,8000000.0,5600000.0,9600000.0,3100000.0, Rejected
296,1, Not Graduate, Yes,300000,1000000,10,431,400000.0,500000.0,900000.0,100000.0, Rejected
297,5, Not Graduate, Yes,8600000,28900000,8,516,9900000.0,1800000.0,30200000.0,6800000.0, Rejected
300,2, Graduate, No,8000000,27100000,12,674,14400000.0,400000.0,25300000.0,6400000.0, Approved
301,0, Not Graduate, Yes,9900000,38200000,6,573,17200000.0,10000000.0,20100000.0,5900000.0, Approved
305,5, Not Graduate, Yes,9200000,23600000,12,656,1400000.0,11200000.0,36400000.0,4900000.0, Approved
308,3, Not Graduate, No,1400000,4100000,8,455,3000000.0,1400000.0,2900000.0,2100000.0, Rejected
313,2, Graduate, Yes,2200000,5100000,20,859,3800000.0,1200000.0,6400000.0,3100000.0, Approved
314,4, Graduate, Yes,5600000,14100000,14,696,9000000.0,9200000.0,16500000.0,6800000.0, Approved
315,4, Not Graduate, No,9800000,28700000,6,778,16600000.0,7400000.0,29700000.0,11100000.0, Approved
320,4, Not Graduate, Yes,2300000,7800000,8,540,1500000.0,3400000.0,4700000.0,2800000.0, Rejected
321,4, Graduate, Yes,5900000,19600000,8,726,17400000.0,6800000.0,20100000.0,8000000.0, Approved
324,3, Not Graduate, Yes,9500000,24200000,8,879,3100000.0,17200000.0,26400000.0,12700000.0, Approved
325,2, Not Graduate, No,5700000,16400000,12,708,3700000.0,800000.0,15000000.0,4400000.0, Approved
326,2, Not Graduate, Yes,2700000,5700000,8,850,3500000.0,5000000.0,10500000.0,3900000.0, Approved
328,0, Not Graduate, No,7800000,28800000,12,465,4700000.0,7500000.0,28800000.0,7400000.0, Rejected
330,4, Not Graduate, No,200000,600000,10,404,0.0,100000.0,400000.0,0.0, Rejected
331,0, Not Graduate, Yes,4700000,10600000,20,512,8400000.0,4000000.0,12300000.0,7000000.0, Rejected
333,2, Not Graduate, Yes,4600000,18400000,2,555,7700000.0,2400000.0,14200000.0,4200000.0, Approved
334,5, Not Graduate, No,1800000,7000000,18,466,2600000.0,2100000.0,6000000.0,1900000.0, Rejected
335,3, Graduate, Yes,3200000,8600000,2,427,3900000.0,1800000.0,7100000.0,4700000.0, Rejected
336,4, Not Graduate, Yes,5500000,20000000,14,593,15100000.0,2700000.0,19900000.0,4900000.0, Approved
338,1, Graduate, Yes,4000000,10100000,16,451,7000000.0,3900000.0,14300000.0,3900000.0, Rejected
341,2, Not Graduate, No,6800000,23500000,12,341,19300000.0,11800000.0,14300000.0,8500000.0, Rejected
344,1, Graduate, Yes,3700000,12600000,10,424,5400000.0,1100000.0,14200000.0,4400000.0, Rejected
345,0, Graduate, No,2600000,5100000,14,678,500000.0,1200000.0,6000000.0,3100000.0, Approved
347,5, Graduate, Yes,8000000,28000000,10,449,18500000.0,1500000.0,17400000.0,3900000.0, Rejected
349,0, Not Graduate, No,2000000,7000000,6,666,0.0,1200000.0,4300000.0,1400000.0, Rejected
350,4, Not Graduate, Yes,5800000,13300000,14,742,16100000.0,9300000.0,16300000.0,7000000.0, Approved
352,2, Graduate, No,7300000,28700000,14,634,5900000.0,3800000.0,21200000.0,10800000.0, Approved
354,0, Graduate, No,3000000,7000000,10,781,7200000.0,600000.0,11700000.0,2700000.0, Approved
355,4, Not Graduate, No,7900000,17200000,14,318,14200000.0,9500000.0,23200000.0,9000000.0, Rejected
357,5, Not Graduate, No,3700000,9800000,4,563,9500000.0,5100000.0,11200000.0,3000000.0, Approved
358,2, Not Graduate, No,8400000,26300000,4,419,22900000.0,7900000.0,29200000.0,6200000.0, Approved
362,0, Graduate, No,4400000,14100000,2,349,3300000.0,1300000.0,8800000.0,6200000.0, Approved
363,1, Not Graduate, Yes,9000000,32200000,16,468,4500000.0,16400000.0,28600000.0,10900000.0, Rejected
364,3, Not Graduate, Yes,6800000,26900000,16,818,14700000.0,10400000.0,26300000.0,7300000.0, Approved
366,3, Graduate, No,9400000,21900000,16,685,8100000.0,5600000.0,34500000.0,5000000.0, Approved
368,1, Not Graduate, Yes,9400000,29800000,10,377,24100000.0,18500000.0,30900000.0,11700000.0, Rejected
370,3, Graduate, Yes,900000,2300000,20,611,600000.0,1500000.0,1900000.0,500000.0, Approved
371,4, Not Graduate, No,2100000,7700000,4,767,1200000.0,1700000.0,6900000.0,1300000.0, Approved
372,5, Graduate, Yes,1100000,3200000,20,592,3200000.0,700000.0,3500000.0,500000.0, Approved
378,4, Graduate, Yes,9500000,23500000,14,380,22900000.0,6700000.0,25100000.0,7300000.0, Rejected
379,2, Not Graduate, Yes,5000000,17600000,20,465,6200000.0,5200000.0,16500000.0,5200000.0, Rejected
380,0, Not Graduate, No,500000,1800000,2,531,1300000.0,500000.0,1900000.0,700000.0, Approved
381,1, Graduate, Yes,8300000,32100000,16,814,18500000.0,2700000.0,28900000.0,7500000.0, Approved
383,2, Not Graduate, Yes,9300000,29000000,12,655,7900000.0,6800000.0,29900000.0,4900000.0, Approved
384,3, Not Graduate, No,2300000,7400000,2,682,6500000.0,2400000.0,7600000.0,2100000.0, Approved
385,1, Not Graduate, No,400000,1300000,6,695,200000.0,500000.0,800000.0,100000.0, Approved
388,1, Graduate, No,2300000,6600000,2,357,5900000.0,200000.0,6000000.0,2200000.0, Rejected
389,5, Not Graduate, No,4300000,14500000,12,302,12500000.0,4300000.0,12500000.0,5100000.0, Rejected
390,0, Graduate, Yes,6200000,22400000,18,873,15700000.0,6600000.0,15800000.0,8200000.0, Approved
391,0, Not Graduate, Yes,7200000,19800000,12,658,12700000.0,8100000.0,25000000.0,7300000.0, Approved
395,4, Not Graduate, Yes,2200000,8200000,14,737,5800000.0,2800000.0,8200000.0,1400000.0, Approved
397,0, Graduate, No,600000,1700000,2,621,400000.0,400000.0,2000000.0,200000.0, Approved
398,4, Graduate, Yes,700000,2700000,16,583,1100000.0,1200000.0,1400000.0,300000.0, Approved
402,5, Graduate, No,3700000,7300000,18,339,9300000.0,100000.0,13900000.0,5300000.0, Rejected
403,3, Graduate, Yes,5200000,15200000,16,650,1300000.0,5700000.0,13500000.0,4100000.0, Approved
405,3, Graduate, No,500000,1000000,20,501,800000.0,800000.0,900000.0,200000.0, Rejected
407,5, Graduate, Yes,9200000,29400000,8,318,18000000.0,5900000.0,33800000.0,5400000.0, Rejected
408,4, Not Graduate, No,900000,3300000,10,649,0.0,400000.0,1800000.0,1200000.0, Approved
411,5, Graduate, No,7100000,18900000,12,360,10700000.0,1100000.0,19800000.0,8500000.0, Rejected
412,1, Graduate, Yes,3500000,7200000,2,865,4100000.0,3200000.0,11900000.0,4200000.0, Approved
413,4, Not Graduate, No,4900000,18800000,16,880,4200000.0,4700000.0,13200000.0,2600000.0, Approved
414,1, Graduate, No,4100000,8400000,20,608,1400000.0,8000000.0,10000000.0,4400000.0, Approved
417,0, Graduate, Yes,6100000,23300000,12,478,3800000.0,2300000.0,17700000.0,4900000.0, Rejected
419,0, Graduate, No,3100000,9300000,6,663,1300000.0,1400000.0,8100000.0,3800000.0, Approved
420,2, Not Graduate, Yes,1700000,3500000,20,693,2200000.0,1400000.0,4800000.0,1700000.0, Approved
422,4, Not Graduate, Yes,4000000,14500000,6,711,2400000.0,5700000.0,10900000.0,4100000.0, Approved
423,5, Graduate, No,5600000,18400000,8,386,11300000.0,6700000.0,11300000.0,5600000.0, Rejected
425,4, Graduate, Yes,6100000,15300000,14,573,1100000.0,9900000.0,13300000.0,8400000.0, Approved
432,1, Graduate, No,1100000,3500000,8,562,2300000.0,1200000.0,3200000.0,500000.0, Approved
433,3, Not Graduate, No,5600000,18700000,2,769,8000000.0,8200000.0,17300000.0,4800000.0, Approved
435,3, Graduate, No,8800000,18100000,6,699,6400000.0,2100000.0,18500000.0,9400000.0, Approved
436,0, Not Graduate, No,8400000,20800000,20,590,5100000.0,8900000.0,32100000.0,10800000.0, Approved
437,3, Graduate, Yes,1600000,5700000,4,707,3300000.0,2700000.0,6200000.0,2300000.0, Approved
438,3, Not Graduate, Yes,4500000,11400000,8,391,8500000.0,6800000.0,9900000.0,4500000.0, Rejected
441,3, Not Graduate, No,4700000,16700000,12,775,4000000.0,1700000.0,17300000.0,3500000.0, Approved
443,5, Graduate, No,8000000,26700000,20,794,8000000.0,14700000.0,29900000.0,7800000.0, Approved
444,2, Graduate, No,7700000,16700000,6,555,12900000.0,2900000.0,18100000.0,8500000.0, Approved
446,2, Not Graduate, No,700000,1700000,10,839,100000.0,700000.0,2000000.0,900000.0, Approved
447,0, Graduate, Yes,1400000,5100000,6,890,4100000.0,1900000.0,5200000.0,1900000.0, Approved
448,1, Graduate, Yes,8600000,27900000,20,415,12200000.0,14800000.0,27100000.0,7900000.0, Rejected
450,3, Graduate, Yes,2900000,5800000,12,353,8400000.0,2600000.0,10100000.0,3100000.0, Rejected
451,4, Not Graduate, No,9000000,29000000,16,590,4600000.0,15600000.0,29200000.0,12300000.0, Approved
452,5, Graduate, Yes,500000,900000,18,618,1400000.0,600000.0,1200000.0,400000.0, Approved
453,2, Not Graduate, Yes,700000,1700000,10,539,1400000.0,1000000.0,1900000.0,900000.0, Rejected
457,4, Graduate, Yes,5400000,21500000,14,555,4300000.0,1500000.0,14300000.0,7500000.0, Approved
459,0, Graduate, No,7400000,20900000,6,635,15600000.0,14000000.0,21000000.0,7200000.0, Approved
461,1, Graduate, Yes,5400000,21400000,8,350,2600000.0,1000000.0,19700000.0,6800000.0, Rejected
462,5, Graduate, Yes,1000000,2500000,14,885,2200000.0,100000.0,2300000.0,1100000.0, Approved
464,1, Graduate, Yes,3800000,10500000,12,710,1800000.0,6200000.0,12500000.0,2500000.0, Approved
465,3, Not Graduate, Yes,6100000,20900000,18,470,500000.0,8500000.0,18000000.0,7500000.0, Rejected
466,5, Not Graduate, Yes,5500000,17300000,16,874,1000000.0,2900000.0,13700000.0,7900000.0, Approved
467,5, Not Graduate, Yes,500000,1800000,18,411,1000000.0,500000.0,1300000.0,200000.0, Rejected
469,1, Graduate, Yes,6200000,16900000,2,396,10600000.0,7500000.0,23700000.0,7600000.0, Rejected
